tissue	outcome	n_tested	n_observed	raw_high_low_ratio	adjusted_high_low_ratio	ci_low	ci_high	sample_size	tested_autosomal_snvs
Cells_Cultured_fibroblasts	finemapped	8977470	7257	43.7103	2.60968	2.04307	3.4246	483	9127937
Cells_EBV-transformed_lymphocytes	eqtl	8852190	263817	12.4662	1.59319	1.02902	3.13842	147	9004781
Cells_EBV-transformed_lymphocytes	lead	8852190	4027	16.5769	1.71063	1.45126	2.12334	147	9004781
Cells_EBV-transformed_lymphocytes	finemapped	8852190	1396	43.6614	2.17871	1.41849	4.29458	147	9004781
Colon_Sigmoid	eqtl	9144337	747758	9.24875	1.61656	1.25089	2.15435	318	9297733
Colon_Sigmoid	lead	9144337	8741	17.5003	2.05459	1.81234	2.34566	318	9297733
Colon_Sigmoid	finemapped	9144337	3787	38.8605	2.0589	1.5445	2.85814	318	9297733
Colon_Transverse	eqtl	9149697	820576	9.37914	1.68404	1.31009	2.28191	368	9307117
Colon_Transverse	lead	9149697	9678	20.5186	2.29621	2.03399	2.64215	368	9307117
Colon_Transverse	finemapped	9149697	4459	44.6521	2.26887	1.79142	3.05587	368	9307117
Esophagus_Gastroesophageal_Junction	eqtl	9132884	775601	9.43533	1.58018	1.2258	2.1578	330	9286426
Esophagus_Gastroesophageal_Junction	lead	9132884	8673	20.3479	2.20679	1.89631	2.56035	330	9286426
Esophagus_Gastroesophageal_Junction	finemapped	9132884	4050	45.3682	2.28539	1.75895	3.19265	330	9286426
Esophagus_Mucosa	eqtl	9041528	1197746	8.92802	1.72569	1.41524	2.16533	497	9191338
Esophagus_Mucosa	lead	9041528	12135	20.566	2.31956	2.04392	2.63212	497	9191338
Esophagus_Mucosa	finemapped	9041528	6412	39.9292	2.25595	1.8526	2.86139	497	9191338
Esophagus_Muscularis	eqtl	9116754	1174075	7.8126	1.59665	1.33374	1.98198	465	9270397
Esophagus_Muscularis	lead	9116754	11669	19.9556	2.36178	2.12835	2.66503	465	9270397
Esophagus_Muscularis	finemapped	9116754	6296	39.1613	2.1755	1.76417	2.7919	465	9270397
Heart_Atrial_Appendage	eqtl	9102177	838024	8.09366	1.57009	1.26906	2.0221	372	9253625
Heart_Atrial_Appendage	lead	9102177	9140	19.6364	2.22509	1.9303	2.5606	372	9253625
Heart_Atrial_Appendage	finemapped	9102177	4428	38.5136	2.15203	1.66772	2.91254	372	9253625
Heart_Left_Ventricle	eqtl	9021739	740873	9.57662	1.64729	1.26942	2.26103	386	9176077
Heart_Left_Ventricle	lead	9021739	8076	20.6917	2.26061	1.94551	2.64607	386	9176077
Heart_Left_Ventricle	finemapped	9021739	3812	38.1769	2.00957	1.51993	2.80716	386	9176077
Kidney_Cortex	eqtl	9123554	65670	8.32927	1.11778	0.721809	2.13727	73	9274223
Kidney_Cortex	lead	9123554	1039	13.438	1.53767	1.19103	2.16597	73	9274223
Kidney_Cortex	finemapped	9123554	334	22.3568	1.74355	1.05553	4.26417	73	9274223
Liver	eqtl	8955031	351542	11.3112	1.66331	1.21893	2.38857	208	9101132
Liver	lead	8955031	4749	17.8882	2.05862	1.74164	2.45564	208	9101132
Liver	finemapped	8955031	1787	67.4466	3.56382	2.34371	6.67499	208	9101132
Lung	eqtl	9132748	1097661	8.12866	1.61139	1.34148	1.99646	515	9286295
Lung	lead	9132748	11631	18.3744	2.1459	1.90512	2.41641	515	9286295
Lung	finemapped	9132748	5875	31.4676	1.89224	1.54136	2.49289	515	9286295
Minor_Salivary_Gland	eqtl	9118733	251817	10.7785	1.49372	1.01833	2.6386	144	9269404
Minor_Salivary_Gland	lead	9118733	3945	14.5037	1.62398	1.37492	1.94952	144	9269404
Minor_Salivary_Gland	finemapped	9118733	1288	47.84	2.51733	1.51903	5.36741	144	9269404
Muscle_Skeletal	eqtl	8954165	1233074	8.79897	1.74033	1.43653	2.16827	706	9105918
Muscle_Skeletal	lead	8954165	11277	21.9006	2.50352	2.19114	2.92391	706	9105918
Muscle_Skeletal	finemapped	8954165	6156	44.744	2.52626	1.9604	3.49355	706	9105918
Nerve_Tibial	eqtl	9173031	1504853	6.88288	1.59346	1.38161	1.87179	532	9326672
Nerve_Tibial	lead	9173031	14325	18.1797	2.33981	2.09517	2.59087	532	9326672
Nerve_Tibial	finemapped	9173031	8510	31.0571	2.10975	1.76026	2.61057	532	9326672
Ovary	eqtl	9119650	322967	8.835	1.35567	0.985517	2.08321	167	9274607
Ovary	lead	9119650	4508	15.5903	1.82385	1.53964	2.18823	167	9274607
Ovary	finemapped	9119650	1705	43.5639	2.55472	1.74997	4.44635	167	9274607
Pancreas	eqtl	9014776	709995	8.80436	1.61259	1.23718	2.2148	305	9168316
Pancreas	lead	9014776	8033	21.1764	2.40107	2.08901	2.75157	305	9168316
Pancreas	finemapped	9014776	3814	35.4151	1.96771	1.51667	2.6481	305	9168316
Pituitary	eqtl	9215766	619070	8.62105	1.56917	1.19748	2.17586	237	9378278
Pituitary	lead	9215766	7531	16.4739	1.89873	1.65259	2.1636	237	9378278
Pituitary	finemapped	9215766	2790	37.4602	2.11376	1.56228	3.02398	237	9378278
Prostate	eqtl	9167881	443170	9.37611	1.45126	1.07425	2.20348	221	9324367
Prostate	lead	9167881	6022	19.1366	2.14095	1.83213	2.54579	221	9324367
Prostate	finemapped	9167881	2290	38.8342	2.12745	1.55697	3.18949	221	9324367
Skin_Not_Sun_Exposed_Suprapubic	eqtl	9113321	1232000	8.91732	1.74813	1.45035	2.16639	517	9266553
Skin_Not_Sun_Exposed_Suprapubic	lead	9113321	12985	19.1433	2.27224	2.03768	2.55801	517	9266553
Skin_Not_Sun_Exposed_Suprapubic	finemapped	9113321	6991	44.44	2.61352	2.08292	3.40683	517	9266553
Skin_Sun_Exposed_Lower_leg	eqtl	9122173	1427011	8.10266	1.68109	1.42392	2.03265	605	9283811
Skin_Sun_Exposed_Lower_leg	lead	9122173	14136	17.7797	2.14154	1.92868	2.37924	605	9283811
Skin_Sun_Exposed_Lower_leg	finemapped	9122173	8012	34.7321	2.08076	1.69691	2.58796	605	9283811
Small_Intestine_Terminal_Ileum	eqtl	9135191	356870	10.9153	1.61314	1.09989	2.64228	174	9288750
Small_Intestine_Terminal_Ileum	lead	9135191	5489	16.1638	1.88385	1.64461	2.22344	174	9288750
Small_Intestine_Terminal_Ileum	finemapped	9135191	1872	38.3516	2.04655	1.49664	3.09114	174	9288750
Spleen	eqtl	9058192	665626	9.73399	1.72031	1.30655	2.3642	227	9211031
Spleen	lead	9058192	8883	18.3367	2.18017	1.89698	2.52834	227	9211031
Spleen	finemapped	9058192	3504	43.6487	2.5928	1.94261	3.77995	227	9211031
Stomach	eqtl	9113636	611617	9.95721	1.63726	1.20932	2.36327	324	9266176
Stomach	lead	9113636	7249	20.4126	2.23021	1.92047	2.61417	324	9266176
Stomach	finemapped	9113636	3181	47.441	2.34709	1.75086	3.35629	324	9266176
Testis	eqtl	9464497	1356853	4.20391	1.43802	1.29786	1.6094	322	9633330
Testis	lead	9464497	15608	9.56419	2.01031	1.86023	2.17931	322	9633330
Testis	finemapped	9464497	7244	13.0998	1.82102	1.57153	2.13671	322	9633330
Thyroid	eqtl	9143584	1541893	6.20841	1.46519	1.29764	1.68892	574	9296860
Thyroid	lead	9143584	14541	17.0307	2.15512	1.93633	2.41262	574	9296860
Thyroid	finemapped	9143584	8574	23.9712	1.7059	1.40282	2.09601	574	9296860
Uterus	eqtl	9080873	189434	11.8692	1.5188	1.06099	2.6547	129	9234289
Uterus	lead	9080873	2920	20.1261	2.14782	1.72511	2.84519	129	9234289
Uterus	finemapped	9080873	939	32.815	1.72152	1.10477	3.25225	129	9234289
Vagina	eqtl	9147554	195252	9.09433	1.22501	0.792521	2.65293	141	9301485
Vagina	lead	9147554	3095	13.8564	1.58988	1.3346	1.9142	141	9301485
Vagina	finemapped	9147554	803	47.913	2.37149	1.36813	5.12769	141	9301485
