tissue	outcome	avi_quintile	tested	observed	expected	observed_expected	ci_low	ci_high
Adipose_Subcutaneous	finemapped	5	1724035	3611	3114.39	1.15946	1.12059	1.19988
Adipose_Visceral_Omentum	eqtl	1	1855607	46305	67278.3	0.68826	0.548288	0.836129
Adipose_Visceral_Omentum	eqtl	2	1754980	84050	122565	0.685759	0.611019	0.769758
Adipose_Visceral_Omentum	eqtl	3	1797065	156359	176662	0.885075	0.809936	0.96718
Adipose_Visceral_Omentum	eqtl	4	1983665	307393	271022	1.1342	1.08923	1.1758
Adipose_Visceral_Omentum	eqtl	5	1724128	377330	333910	1.13003	1.07178	1.18946
Adipose_Visceral_Omentum	lead	1	1855607	281	509.224	0.55182	0.486526	0.619425
Adipose_Visceral_Omentum	lead	2	1754980	705	1049.07	0.672022	0.621286	0.728717
Adipose_Visceral_Omentum	lead	3	1797065	1344	1739.48	0.772645	0.72447	0.819788
Adipose_Visceral_Omentum	lead	4	1983665	2869	2924.24	0.981109	0.94316	1.01919
Adipose_Visceral_Omentum	lead	5	1724128	5171	4147.98	1.24663	1.21307	1.28318
Adipose_Visceral_Omentum	finemapped	1	1855607	73	134.613	0.542295	0.415312	0.662343
Adipose_Visceral_Omentum	finemapped	2	1754980	258	380.504	0.678048	0.563557	0.811358
Adipose_Visceral_Omentum	finemapped	3	1797065	658	789.205	0.83375	0.741167	0.930903
Adipose_Visceral_Omentum	finemapped	4	1983665	1455	1477.61	0.984699	0.924368	1.05207
Adipose_Visceral_Omentum	finemapped	5	1724128	2687	2349.07	1.14386	1.10055	1.18952
Adrenal_Gland	eqtl	1	1862691	25528	34083.7	0.748979	0.551846	0.954031
Adrenal_Gland	eqtl	2	1761174	39926	61983	0.644144	0.555069	0.741171
Adrenal_Gland	eqtl	3	1801328	87070	92716.2	0.939103	0.810102	1.07461
Adrenal_Gland	eqtl	4	1983386	165222	146662	1.12655	1.06865	1.18247
Adrenal_Gland	eqtl	5	1723436	207484	189786	1.09326	1.01256	1.17784
Adrenal_Gland	lead	1	1862691	179	333.231	0.537165	0.460448	0.613537
Adrenal_Gland	lead	2	1761174	463	662.922	0.698423	0.635891	0.768215
Adrenal_Gland	lead	3	1801328	902	1099.34	0.820493	0.761005	0.886808
Adrenal_Gland	lead	4	1983386	1896	1874.42	1.01152	0.965946	1.05699
Adrenal_Gland	lead	5	1723436	3220	2690.09	1.19699	1.15778	1.23647
Adrenal_Gland	finemapped	1	1862691	29	65.978	0.43954	0.294091	0.604028
Adrenal_Gland	finemapped	2	1761174	138	176.645	0.781228	0.644461	0.927166
Adrenal_Gland	finemapped	3	1801328	319	369.002	0.864495	0.762525	0.986792
Adrenal_Gland	finemapped	4	1983386	739	712.136	1.03772	0.954424	1.1143
Adrenal_Gland	finemapped	5	1723436	1261	1162.24	1.08497	1.03137	1.13625
Artery_Aorta	eqtl	1	1849896	50529	71023.5	0.71144	0.576529	0.854591
Artery_Aorta	eqtl	2	1743956	81069	125723	0.644824	0.582071	0.709759
Artery_Aorta	eqtl	3	1789781	158212	179635	0.880743	0.804712	0.962241
Artery_Aorta	eqtl	4	1981888	313849	275818	1.13789	1.09579	1.17459
Artery_Aorta	eqtl	5	1723998	385540	337000	1.14403	1.08733	1.20052
Artery_Aorta	lead	1	1849896	294	516.584	0.569123	0.502803	0.636077
Artery_Aorta	lead	2	1743956	677	1037.47	0.65255	0.600133	0.709703
Artery_Aorta	lead	3	1789781	1312	1719.11	0.763186	0.714205	0.817488
Artery_Aorta	lead	4	1981888	2889	2914.23	0.991344	0.955748	1.0281
Artery_Aorta	lead	5	1723998	5154	4138.61	1.24535	1.21168	1.28405
Artery_Aorta	finemapped	1	1849896	83	152.884	0.542894	0.422216	0.666648
Artery_Aorta	finemapped	2	1743956	268	384.984	0.696133	0.602377	0.803033
Artery_Aorta	finemapped	3	1789781	624	787.407	0.792474	0.70544	0.88686
Artery_Aorta	finemapped	4	1981888	1447	1479.76	0.977861	0.916027	1.0374
Artery_Aorta	finemapped	5	1723998	2737	2353.96	1.16272	1.11753	1.20891
Artery_Coronary	eqtl	1	1869489	15197	24359	0.623876	0.393484	0.866736
Artery_Coronary	eqtl	2	1755097	28130	46983.5	0.598721	0.492901	0.718234
Artery_Coronary	eqtl	3	1795192	66916	71251	0.939159	0.78251	1.08903
Artery_Coronary	eqtl	4	1982143	130149	113178	1.14995	1.08471	1.21447
Artery_Coronary	eqtl	5	1723521	164413	149033	1.1032	1.00182	1.21406
Artery_Coronary	lead	1	1869489	152	256.435	0.592743	0.499501	0.69118
Artery_Coronary	lead	2	1755097	375	522.167	0.718161	0.638835	0.799048
Artery_Coronary	lead	3	1795192	703	864.502	0.813185	0.742417	0.884492
Artery_Coronary	lead	4	1982143	1457	1451.84	1.00355	0.95144	1.05289
Artery_Coronary	lead	5	1723521	2495	2087.06	1.19546	1.15448	1.23743
Artery_Coronary	finemapped	1	1869489	20	50.2775	0.397792	0.21677	0.580021
Artery_Coronary	finemapped	2	1755097	97	139.941	0.69315	0.564741	0.841357
Artery_Coronary	finemapped	3	1795192	242	299.62	0.807691	0.698335	0.928866
Artery_Coronary	finemapped	4	1982143	570	564.505	1.00973	0.922625	1.09432
Artery_Coronary	finemapped	5	1723521	1032	906.657	1.13825	1.07848	1.19432
Artery_Tibial	eqtl	1	1834233	66816	98943.2	0.675297	0.566558	0.791164
Artery_Tibial	eqtl	2	1744827	119408	176202	0.677676	0.622598	0.733011
Artery_Tibial	eqtl	3	1791299	217549	244583	0.889469	0.827933	0.95845
Artery_Tibial	eqtl	4	1981051	422431	371765	1.13628	1.10145	1.16902
Artery_Tibial	eqtl	5	1724035	507925	442635	1.1475	1.103	1.19145
Artery_Tibial	lead	1	1834233	328	613.056	0.535025	0.473638	0.593778
Artery_Tibial	lead	2	1744827	819	1271.48	0.644131	0.598779	0.69098
Artery_Tibial	lead	3	1791299	1550	2043.56	0.758479	0.712647	0.803142
Artery_Tibial	lead	4	1981051	3429	3510.44	0.976801	0.942975	1.01371
Artery_Tibial	lead	5	1724035	6286	4973.46	1.26391	1.23115	1.30218
Artery_Tibial	finemapped	1	1834233	112	207.207	0.540523	0.423587	0.672119
Artery_Tibial	finemapped	2	1744827	359	554.452	0.647487	0.559986	0.745229
Artery_Tibial	finemapped	3	1791299	856	1076.68	0.795038	0.72264	0.875858
Artery_Tibial	finemapped	4	1981051	2060	2074.85	0.992842	0.934488	1.05543
Artery_Tibial	finemapped	5	1724035	3793	3266.81	1.16107	1.11871	1.20472
Brain_Amygdala	eqtl	1	1929623	9419	12906.2	0.729804	0.451351	1.03303
Brain_Amygdala	eqtl	2	1778869	14723	23949.6	0.614749	0.487899	0.756303
Brain_Amygdala	eqtl	3	1808786	35644	35912.1	0.992534	0.771517	1.21386
Brain_Amygdala	eqtl	4	1984470	66792	57010.7	1.17157	1.086	1.25439
Brain_Amygdala	eqtl	5	1724480	81101	77900.4	1.04109	0.925785	1.16973
Brain_Amygdala	lead	1	1929623	118	172.076	0.685744	0.568852	0.80356
Brain_Amygdala	lead	2	1778869	227	328.617	0.690775	0.585484	0.789776
Brain_Amygdala	lead	3	1808786	438	521.104	0.840523	0.756392	0.923449
Brain_Amygdala	lead	4	1984470	915	858.678	1.06559	0.996754	1.13175
Brain_Amygdala	lead	5	1724480	1423	1240.53	1.14709	1.0971	1.19569
Brain_Amygdala	finemapped	1	1929623	19	23.9509	0.793291	0.456394	1.1565
