y	variant	y_transform	x_model	x_plot	fit_model_space	ci_lo_model_space	ci_hi_model_space	fit_y_units	ci_lo_y_units	ci_hi_y_units
avi_top1_per_kb	A_raw_x	raw	1275.19	1275.19	37.0569	35.7707	38.3432	37.0569	35.7707	38.3432
avi_top1_per_kb	A_raw_x	raw	1287.93	1287.93	37.136	35.8351	38.4369	37.136	35.8351	38.4369
avi_top1_per_kb	A_raw_x	raw	1300.67	1300.67	37.215	35.8994	38.5306	37.215	35.8994	38.5306
avi_top1_per_kb	A_raw_x	raw	1313.41	1313.41	37.294	35.9638	38.6243	37.294	35.9638	38.6243
avi_top1_per_kb	A_raw_x	raw	1326.15	1326.15	37.3731	36.0281	38.718	37.3731	36.0281	38.718
avi_top1_per_kb	A_raw_x	raw	1338.89	1338.89	37.4521	36.0924	38.8118	37.4521	36.0924	38.8118
avi_top1_per_kb	A_raw_x	raw	1351.64	1351.64	37.5312	36.1567	38.9056	37.5312	36.1567	38.9056
avi_top1_per_kb	A_raw_x	raw	1364.38	1364.38	37.6102	36.221	38.9994	37.6102	36.221	38.9994
avi_top1_per_kb	A_raw_x	raw	1377.12	1377.12	37.6892	36.2853	39.0932	37.6892	36.2853	39.0932
avi_top1_per_kb	A_raw_x	raw	1389.86	1389.86	37.7683	36.3495	39.187	37.7683	36.3495	39.187
avi_top1_per_kb	A_raw_x	raw	1402.6	1402.6	37.8473	36.4138	39.2808	37.8473	36.4138	39.2808
avi_top1_per_kb	A_raw_x	raw	1415.35	1415.35	37.9263	36.478	39.3747	37.9263	36.478	39.3747
avi_top1_per_kb	A_raw_x	raw	1428.09	1428.09	38.0054	36.5422	39.4686	38.0054	36.5422	39.4686
avi_top1_per_kb	A_raw_x	raw	1440.83	1440.83	38.0844	36.6064	39.5624	38.0844	36.6064	39.5624
avi_top1_per_kb	A_raw_x	raw	1453.57	1453.57	38.1634	36.6705	39.6563	38.1634	36.6705	39.6563
avi_top1_per_kb	A_raw_x	raw	1466.31	1466.31	38.2425	36.7347	39.7503	38.2425	36.7347	39.7503
avi_top1_per_kb	A_raw_x	raw	1479.06	1479.06	38.3215	36.7988	39.8442	38.3215	36.7988	39.8442
avi_top1_per_kb	A_raw_x	raw	1491.8	1491.8	38.4005	36.863	39.9381	38.4005	36.863	39.9381
avi_top1_per_kb	A_raw_x	raw	1504.54	1504.54	38.4796	36.9271	40.0321	38.4796	36.9271	40.0321
avi_top1_per_kb	A_raw_x	raw	1517.28	1517.28	38.5586	36.9912	40.126	38.5586	36.9912	40.126
